,logFC,mod_t,p,fdr_all,kME,fdr_in_module
MLF2,0.12569117039573552,1.8587386579628333,0.06681589057817026,0.3831212393567972,0.607164556463187,0.11685965022620853
MEPCE,0.08420209878844531,1.28400208320571,0.20292179759493412,0.5421746566909726,0.6047694017927701,0.2576996331123556
LY6E,0.2922212100598838,2.711050247354672,0.008237136601896514,0.26470869863932694,0.6018658226811631,0.04224155454507058
HGS,0.13773353218636464,1.960147509853817,0.05353049909372045,0.3690666571780805,0.6013956878582906,0.10465669820478966
CRIP2,0.1531672059817577,1.932991298975481,0.056846952870753815,0.3749568414095841,0.6010796232419273,0.10657276777861187
CITED2,-0.02448459592535368,-0.3619873535676447,0.7183350677700447,0.883134580270368,0.600906972741827,0.74026896296913
TPRA1,0.07719346751432399,1.1442296209511307,0.25600889225474394,0.5894152833702145,0.5945708002714186,0.30184454545319156
RHOF,0.1787034538720551,2.9598259540288088,0.004069424247783636,0.26470869863932694,0.5938711765118169,0.03617136034258895
BCAS3,0.12736143037355951,2.0700799264730567,0.041736642746182044,0.3466937472124464,0.5938711211785067,0.0939074461789096
HLA-DQB1.2,0.1416989902355814,1.7606102764330263,0.08220300445735484,0.40680102718460304,0.5917801275341951,0.13451400729385338
GTF2H4,0.1271889276164213,1.8684770152954449,0.06543009852628481,0.38115852654428417,0.5843058615687386,0.11622451711905854
GABBR1.1,0.16806618965136044,2.62802513764727,0.010328286662203229,0.27263045749936843,0.5838700887084072,0.04807995515163572
IFT140,0.019989597541068438,0.3194552260523657,0.7502307730675679,0.8977659729066921,0.5823333621851094,0.7672814724554672
NOP2,0.08493605659488956,1.3525709524168765,0.18007988316251275,0.5205048564353147,0.5813631453470076,0.23346078153823618
ANXA6,0.2082165609087756,3.1185935528841435,0.00254145891705372,0.26470869863932694,0.5803016668653646,0.02983451772193498
APBB1,0.14818433665123987,2.134606997732929,0.03591633431055185,0.33250155080228144,0.5802991923142031,0.08736405643107206
OXA1L,0.11298911282040436,1.5446764177009196,0.12645055319306928,0.4673172618004734,0.5801146824618082,0.17508538134424975
